#SampleID	Group	Group(Full Name)	stage	combine_group
d11.A1	A	normal_control	d11	d11_A
d11.A2	A	normal_control	d11	d11_A
d11.A3	A	normal_control	d11	d11_A
d11.A4	A	normal_control	d11	d11_A
d11.A5	A	normal_control	d11	d11_A
d11.A6	A	normal_control	d11	d11_A
d11.B1	B	AAD_model	d11	d11_B
d11.B2	B	AAD_model	d11	d11_B
d11.B3	B	AAD_model	d11	d11_B
d11.B4	B	AAD_model	d11	d11_B
d11.B5	B	AAD_model	d11	d11_B
d11.B6	B	AAD_model	d11	d11_B
d11.C1	C	B.fragilis_7	d11	d11_C
d11.C2	C	B.fragilis_7	d11	d11_C
d11.C3	C	B.fragilis_7	d11	d11_C
d11.C4	C	B.fragilis_7	d11	d11_C
d11.C5	C	B.fragilis_7	d11	d11_C
d11.C6	C	B.fragilis_7	d11	d11_C
d11.D1	D	B.fragilis_8	d11	d11_D
d11.D2	D	B.fragilis_8	d11	d11_D
d11.D3	D	B.fragilis_8	d11	d11_D
d11.D4	D	B.fragilis_8	d11	d11_D
d11.D5	D	B.fragilis_8	d11	d11_D
d11.D6	D	B.fragilis_8	d11	d11_D
d11.E1	E	B.fragilis_9	d11	d11_E
d11.E2	E	B.fragilis_9	d11	d11_E
d11.E3	E	B.fragilis_9	d11	d11_E
d11.E4	E	B.fragilis_9	d11	d11_E
d11.E5	E	B.fragilis_9	d11	d11_E
d11.E6	E	B.fragilis_9	d11	d11_E
d11.F1	F	Bifico_70	d11	d11_F
d11.F2	F	Bifico_70	d11	d11_F
d11.F3	F	Bifico_70	d11	d11_F
d11.F4	F	Bifico_70	d11	d11_F
d11.F5	F	Bifico_70	d11	d11_F
d11.F6	F	Bifico_70	d11	d11_F
d11.G1	G	B.fragilis_Bifico	d11	d11_G
d11.G2	G	B.fragilis_Bifico	d11	d11_G
d11.G3	G	B.fragilis_Bifico	d11	d11_G
d11.G4	G	B.fragilis_Bifico	d11	d11_G
d11.G5	G	B.fragilis_Bifico	d11	d11_G
d11.G6	G	B.fragilis_Bifico	d11	d11_G
d17.A1	A	normal_control	d17	d17_A
d17.A2	A	normal_control	d17	d17_A
d17.A3	A	normal_control	d17	d17_A
d17.A4	A	normal_control	d17	d17_A
d17.A5	A	normal_control	d17	d17_A
d17.A6	A	normal_control	d17	d17_A
d17.B1	B	AAD_model	d17	d17_B
d17.B2	B	AAD_model	d17	d17_B
d17.B3	B	AAD_model	d17	d17_B
d17.B4	B	AAD_model	d17	d17_B
d17.B5	B	AAD_model	d17	d17_B
d17.B6	B	AAD_model	d17	d17_B
d17.C1	C	B.fragilis_7	d17	d17_C
d17.C2	C	B.fragilis_7	d17	d17_C
d17.C3	C	B.fragilis_7	d17	d17_C
d17.C4	C	B.fragilis_7	d17	d17_C
d17.C5	C	B.fragilis_7	d17	d17_C
d17.C6	C	B.fragilis_7	d17	d17_C
d17.D1	D	B.fragilis_8	d17	d17_D
d17.D2	D	B.fragilis_8	d17	d17_D
d17.D3	D	B.fragilis_8	d17	d17_D
d17.D4	D	B.fragilis_8	d17	d17_D
d17.D5	D	B.fragilis_8	d17	d17_D
d17.D6	D	B.fragilis_8	d17	d17_D
d17.E1	E	B.fragilis_9	d17	d17_E
d17.E2	E	B.fragilis_9	d17	d17_E
d17.E3	E	B.fragilis_9	d17	d17_E
d17.E4	E	B.fragilis_9	d17	d17_E
d17.E5	E	B.fragilis_9	d17	d17_E
d17.E6	E	B.fragilis_9	d17	d17_E
d17.F1	F	Bifico_70	d17	d17_F
d17.F2	F	Bifico_70	d17	d17_F
d17.F3	F	Bifico_70	d17	d17_F
d17.F4	F	Bifico_70	d17	d17_F
d17.F5	F	Bifico_70	d17	d17_F
d17.F6	F	Bifico_70	d17	d17_F
d17.G1	G	B.fragilis_Bifico	d17	d17_G
d17.G2	G	B.fragilis_Bifico	d17	d17_G
d17.G3	G	B.fragilis_Bifico	d17	d17_G
d17.G4	G	B.fragilis_Bifico	d17	d17_G
d17.G5	G	B.fragilis_Bifico	d17	d17_G
d17.G6	G	B.fragilis_Bifico	d17	d17_G
